operation;strategy;blockSize;fileSizeInBytes;durationInMs
WRITE;BlockByBlockWithBufferedStream;500;10485760;32
WRITE;BlockByBlockWithBufferedStream;50;10485760;29
WRITE;BlockByBlockWithBufferedStream;5;10485760;87
WRITE;ByteByByteWithBufferedStream;0;10485760;197
WRITE;BlockByBlockWithoutBufferedStream;500;10485760;57
WRITE;BlockByBlockWithoutBufferedStream;50;10485760;351
WRITE;BlockByBlockWithoutBufferedStream;5;10485760;2883
WRITE;ByteByByteWithoutBufferedStream;0;10485760;12582
READ;BlockByBlockWithBufferedStream;500;10485760;8
READ;BlockByBlockWithBufferedStream;50;10485760;12
READ;BlockByBlockWithBufferedStream;5;10485760;19
READ;ByteByByteWithBufferedStream;0;10485760;56
READ;BlockByBlockWithoutBufferedStream;500;10485760;15
READ;BlockByBlockWithoutBufferedStream;50;10485760;139
READ;BlockByBlockWithoutBufferedStream;5;10485760;1310
READ;ByteByByteWithoutBufferedStream;0;10485760;6221