operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,500,10485760,30
WRITE,BlockByBlockWithBufferedStream,50,10485760,40
WRITE,BlockByBlockWithBufferedStream,5,10485760,65
WRITE,ByteByByteWithBufferedStream,0,10485760,184
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,64
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,336
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,2751
WRITE,ByteByByteWithoutBufferedStream,0,10485760,12233
READ,BlockByBlockWithBufferedStream,500,10485760,7
READ,BlockByBlockWithBufferedStream,50,10485760,12
READ,BlockByBlockWithBufferedStream,5,10485760,21
READ,ByteByByteWithBufferedStream,0,10485760,55
READ,BlockByBlockWithoutBufferedStream,500,10485760,14
READ,BlockByBlockWithoutBufferedStream,50,10485760,133
READ,BlockByBlockWithoutBufferedStream,5,10485760,1315
READ,ByteByByteWithoutBufferedStream,0,10485760,5599